hid,extra_item
0,home office
1,water purification system
2,beautiful view
3,on water
4,beautiful view
5,beautiful view
6,none
7,beautiful view
8,beautiful view
9,none
10,pool
11,pool
12,beautiful view
13,beautiful view
14,pool
15,on water
16,home office
17,water purification system
18,on water
19,on water
20,pool
21,beautiful view
22,pool
23,beautiful view
24,on water
25,on water
26,pool
27,pool
28,none
29,beautiful view
30,none
31,pool
32,none
33,on water
34,home office
35,pool
36,none
37,home office
38,home office
39,on water
40,none
41,none
42,beautiful view
43,water purification system
44,water purification system
45,none
46,pool
47,pool
48,none
49,pool
50,beautiful view
51,water purification system
52,beautiful view
53,home office
54,home office
55,home office
56,home office
57,home office
58,water purification system
59,home office
60,none
61,on water
62,water purification system
63,on water
64,beautiful view
65,water purification system
66,pool
67,pool
68,water purification system
69,beautiful view
70,pool
71,pool
72,on water
73,pool
74,on water
75,water purification system
76,pool
77,home office
78,on water
79,none
80,water purification system
81,on water
82,home office
83,on water
84,water purification system
85,home office
86,water purification system
87,home office
88,pool
89,beautiful view
90,pool
91,water purification system
92,water purification system
93,none
94,water purification system
95,pool
96,on water
97,home office
98,none
99,none
100,pool
101,home office
102,on water
103,pool
104,beautiful view
105,home office
106,beautiful view
107,water purification system
108,water purification system
109,pool
110,on water
111,beautiful view
112,home office
113,beautiful view
114,beautiful view
115,on water
116,on water
117,none
118,home office
119,pool
120,water purification system
121,on water
122,home office
123,none
124,water purification system
125,home office
126,beautiful view
127,home office
128,water purification system
129,pool
130,pool
131,home office
132,on water
133,pool
134,none
135,on water
136,home office
137,on water
138,pool
139,none
140,water purification system
141,water purification system
142,on water
143,none
144,water purification system
145,home office
146,water purification system
147,home office
148,water purification system
149,none
150,water purification system
151,none
152,pool
153,pool
154,none
155,on water
156,water purification system
157,pool
158,beautiful view
159,home office
160,home office
161,home office
162,water purification system
163,pool
164,beautiful view
165,water purification system
166,on water
167,none
168,beautiful view
169,water purification system
170,beautiful view
171,beautiful view
172,none
173,water purification system
174,on water
175,beautiful view
176,none
177,on water
178,on water
179,none
180,beautiful view
181,on water
182,pool
183,water purification system
184,home office
185,beautiful view
186,home office
187,beautiful view
188,on water
189,water purification system
190,home office
191,home office
192,water purification system
193,home office
194,home office
195,on water
196,beautiful view
197,beautiful view
198,home office
199,pool
